==> past_data/changed_flights_2026-06-01.csv <==
K4 255_2026-06-03,K4 255,CKS,2026-06-03,05:50,"YHM, JFK, CVG",Cancelled,,departure,
MB 480_2026-06-03,MB 480,MNB,2026-06-03,06:00,"SHJ, IST",Cancelled,,departure,
D0 591_2026-06-03,D0 591,DHK,2026-06-03,06:40,"DEL, EMA",Cancelled,,departure,
HE 772_2026-06-03,HE 772,HGO,2026-06-03,07:00,"CIT, EMA",Cancelled,,departure,
CK 264_2026-06-03,CK 264,CKK,2026-06-03,07:00,CKG,Cancelled,,departure,
ET 3767_2026-06-03,ET 3767,ETH,2026-06-03,07:10,LGG,Cancelled,,departure,
EK 9929_2026-06-03,EK 9929,UAE,2026-06-03,09:30,DXB,Cancelled,,departure,
EK 9025_2026-06-03,EK 9025,UAE,2026-06-03,10:55,DWC,Cancelled,,departure,
CC 4800_2026-06-03,CC 4800,ABD,2026-06-03,11:50,CMB,Cancelled,,departure,
5Y 8131_2026-06-03,5Y 8131,GTI,2026-06-03,12:40,"DEL, ANC",Cancelled,,departure,
3S 707D_2026-06-03,3S 707D,BOX,2026-06-03,14:00,"BAH, LEJ",Cancelled,,departure,
EK 9239_2026-06-03,EK 9239,UAE,2026-06-03,15:35,DWC,Cancelled,,departure,
P9 881_2026-06-03,P9 881,MGE,2026-06-03,16:10,GUM,Cancelled,,departure,
7L 923_2026-06-03,7L 923,AZG,2026-06-03,17:20,GYD,Cancelled,,departure,
EK 9833_2026-06-03,EK 9833,UAE,2026-06-03,17:20,DWC,Cancelled,,departure,
SV 975_2026-06-03,SV 975,SVA,2026-06-03,17:30,JED,Cancelled,,departure,
7L 1923_2026-06-03,7L 1923,AZG,2026-06-03,18:20,GYD,Cancelled,,departure,
7L 624_2026-06-03,7L 624,AZG,2026-06-03,18:25,GYD,Cancelled,,departure,
TH 6825_2026-06-03,TH 6825,RMY,2026-06-03,19:45,KUL,Cancelled,,departure,
5X 1939_2026-06-03,5X 1939,UPS,2026-06-03,19:50,"ANC, ONT",Cancelled,,departure,
EK 9011_2026-06-03,EK 9011,UAE,2026-06-03,21:25,DWC,Cancelled,,departure,
AK 8535_2026-06-03,AK 8535,AXM,2026-06-03,21:55,KUL,Cancelled,,departure,
3G 801_2026-06-04,3G 801,WCM,2026-06-04,00:30,KUL,Cancelled,,departure,
EK 9885_2026-06-04,EK 9885,UAE,2026-06-04,00:30,DWC,Cancelled,,departure,
MS 510_2026-06-04,MS 510,MSR,2026-06-04,01:00,BKK,Cancelled,,departure,
SV 981_2026-06-04,SV 981,SVA,2026-06-04,02:00,RUH,Cancelled,,departure,
JL 6782_2026-06-04,JL 6782,JAL,2026-06-04,02:20,NRT,Cancelled,,departure,
RH 371_2026-06-04,RH 371,HKC,2026-06-04,08:40,SIN,Cancelled,,departure,
CV 976_2026-06-04,CV 976,CLX,2026-06-04,10:30,"NQZ, LUX",Cancelled,,departure,
EK 9025_2026-06-04,EK 9025,UAE,2026-06-04,10:55,DWC,Cancelled,,departure,
5Y 8030_2026-06-04,5Y 8030,GTI,2026-06-04,11:25,"ANC, MIA",Cancelled,,departure,
EK 9941_2026-06-04,EK 9941,UAE,2026-06-04,15:35,DWC,Cancelled,,departure,
5X 001_2026-06-04,5X 001,UPS,2026-06-04,15:40,CGN,Cancelled,,departure,
