flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
QY 548_2026-09-06,QY 548,BCS,2026-09-06,03:25,"LEJ,DEL",At gate 04:46,,,2026-09-07T16:13:40+08:00
3S 712_2026-09-06,3S 712,BOX,2026-09-06,03:35,"LEJ,DXB",At gate 04:43,,,2026-09-07T16:13:40+08:00
5Y 8816_2026-09-06,5Y 8816,GTI,2026-09-06,03:45,SUU,At gate 05:05,,,2026-09-07T16:13:40+08:00
RH 352_2026-09-06,RH 352,HKC,2026-09-06,03:45,MNL,At gate 04:21,,,2026-09-07T16:13:40+08:00
QR 8406_2026-09-06,QR 8406,QTR,2026-09-06,03:50,DOH,At gate 03:32,,,2026-09-07T16:13:40+08:00
CX 3239_2026-09-06,CX 3239,CPA,2026-09-06,03:55,XMN,At gate 10:41,,,2026-09-07T16:13:40+08:00
5X 022_2026-09-06,5X 022,UPS,2026-09-06,04:00,"PHL,CGN,CDG",At gate 03:35,,,2026-09-07T16:13:40+08:00
QR 8430_2026-09-06,QR 8430,QTR,2026-09-06,04:00,DOH,At gate 03:27,,,2026-09-07T16:13:40+08:00
CX 095_2026-09-06,CX 095,CPA,2026-09-06,04:30,JFK,At gate 06:22,,,2026-09-07T16:13:40+08:00
CX 053_2026-09-06,CX 053,CPA,2026-09-06,04:45,CKG,At gate 11:57,,,2026-09-07T16:13:40+08:00
HJ 125_2026-09-06,HJ 125,TMN,2026-09-06,04:50,SYD,Cancelled,,,2026-09-07T16:13:40+08:00
CK 263_2026-09-06,CK 263,CKK,2026-09-06,04:55,PVG,At gate 22:57,,,2026-09-07T16:13:40+08:00
3S 582_2026-09-06,3S 582,BOX,2026-09-06,05:15,"LEJ,ICN",At gate 04:45,,,2026-09-07T16:13:40+08:00
CI 5833_2026-09-06,CI 5833,CAL,2026-09-06,05:20,TPE,At gate 08:41,,,2026-09-07T16:13:40+08:00
CV 7855_2026-09-06,CV 7855,CLX,2026-09-06,05:20,"LUX,ASB,SGN",At gate 04:42,,,2026-09-07T16:13:40+08:00
QY 672_2026-09-06,QY 672,BCS,2026-09-06,06:00,LEJ,At gate 05:31,,,2026-09-07T16:13:40+08:00
SR 814_2026-09-06,SR 814,XKY,2026-09-06,06:25,MNL,At gate 06:12,,,2026-09-07T16:13:40+08:00
7L 571_2026-09-06,7L 571,AZG,2026-09-06,06:45,BSZ,At gate 08:09,,,2026-09-07T16:13:40+08:00
CX 2083_2026-09-06,CX 2083,CPA,2026-09-06,07:00,"ORD,ANC",At gate 05:58,,,2026-09-07T16:13:40+08:00
FX 169_2026-09-06,FX 169,FDX,2026-09-06,07:05,"MEM,ANC,SIN",At gate 07:04,,,2026-09-07T16:13:40+08:00
K4 273_2026-09-06,K4 273,CKS,2026-09-06,07:05,"LGG,TLV",At gate 06:54,,,2026-09-07T16:13:40+08:00
7L 1611_2026-09-06,7L 1611,AZG,2026-09-06,07:30,DWC,At gate 08:44,,,2026-09-07T16:13:40+08:00
ES 697_2026-09-06,ES 697,DHX,2026-09-06,07:35,BAH,Cancelled,,,2026-09-07T16:13:40+08:00
QR 8432_2026-09-06,QR 8432,QTR,2026-09-06,07:45,"DOH,SIN",At gate 07:34,,,2026-09-07T16:13:40+08:00
CX 055_2026-09-06,CX 055,CPA,2026-09-06,07:50,PVG,At gate 17:40,,,2026-09-07T16:13:40+08:00
RH 4569_2026-09-06,RH 4569,HKC,2026-09-06,07:55,TPE,At gate 01:05 (07/09/2026),,,2026-09-07T16:13:40+08:00
LH 8462_2026-09-06,LH 8462,GEC,2026-09-06,08:05,FRA,At gate 09:08,,,2026-09-07T16:13:40+08:00
TK 6274_2026-09-06,TK 6274,THY,2026-09-06,08:10,"IST,TBS",At gate 08:28,,,2026-09-07T16:13:40+08:00
MP 9462_2026-09-06,MP 9462,MPH,2026-09-06,08:15,ICN,At gate 08:36,,,2026-09-07T16:13:40+08:00
KJ 954_2026-09-06,KJ 954,AIH,2026-09-06,08:45,"ICN,HAN",At gate 08:47,,,2026-09-07T16:13:40+08:00
5C 771_2026-09-06,5C 771,ICL,2026-09-06,09:00,TLV,Cancelled,,,2026-09-07T16:13:40+08:00
3V 401_2026-09-06,3V 401,TAY,2026-09-06,09:25,"LGG,DWC",At gate 10:46,,,2026-09-07T16:13:40+08:00
EK 9858_2026-09-06,EK 9858,UAE,2026-09-06,09:40,DWC,At gate 08:57,,,2026-09-07T16:13:40+08:00
RH 9492_2026-09-06,RH 9492,HKC,2026-09-06,09:45,"IST,ALA",Est at 19:48 (07/09/2026),,,2026-09-07T16:13:40+08:00
RH 6652_2026-09-06,RH 6652,HKC,2026-09-06,11:00,"DAC,HAN",At gate 10:44,,,2026-09-07T16:13:40+08:00
5Y 9476_2026-09-06,5Y 9476,GTI,2026-09-06,11:08,MAD,At gate 11:20,,,2026-09-07T16:13:40+08:00
5Y 5579_2026-09-06,5Y 5579,GTI,2026-09-06,11:20,"MIA,LGG",Cancelled,,,2026-09-07T16:13:40+08:00
KJ 969_2026-09-06,KJ 969,AIH,2026-09-06,12:00,ICN,At gate 13:57,,,2026-09-07T16:13:40+08:00
MH 6106_2026-09-06,MH 6106,MAS,2026-09-06,12:00,"KUL,KCH",At gate 11:51,,,2026-09-07T16:13:40+08:00
K4 550_2026-09-06,K4 550,CKS,2026-09-06,12:15,"ORD,NRT",At gate 12:26,,,2026-09-07T16:13:40+08:00
CV 4326_2026-09-06,CV 4326,CLX,2026-09-06,12:45,"LUX,KUL",At gate 13:03,,,2026-09-07T16:13:40+08:00
5Y 8373_2026-09-06,5Y 8373,GTI,2026-09-06,13:00,HAN,At gate 07:15 (07/09/2026),,,2026-09-07T16:13:40+08:00
KZ 209_2026-09-06,KZ 209,NCA,2026-09-06,13:35,NRT,At gate 14:13,,,2026-09-07T16:13:40+08:00
NH 8513_2026-09-06,NH 8513,ANA,2026-09-06,14:10,NRT,At gate 14:48,,,2026-09-07T16:13:40+08:00
K4 370_2026-09-06,K4 370,CKS,2026-09-06,14:30,HNL,At gate 13:20,,,2026-09-07T16:13:40+08:00
CV 4796_2026-09-06,CV 4796,CLX,2026-09-06,14:30,LUX,At gate 01:41 (07/09/2026),,,2026-09-07T16:13:40+08:00
5X 062_2026-09-06,5X 062,UPS,2026-09-06,14:40,"SDF,ANC",At gate 14:19,,,2026-09-07T16:13:40+08:00
FX 023_2026-09-06,FX 023,FDX,2026-09-06,14:45,"MEM,ANC",At gate 15:04,,,2026-09-07T16:13:40+08:00
5Y 654_2026-09-06,5Y 654,GTI,2026-09-06,14:45,ICN,Cancelled,,,2026-09-07T16:13:40+08:00
7L 922_2026-09-06,7L 922,AZG,2026-09-06,14:50,GYD,Cancelled,,,2026-09-07T16:13:40+08:00
KE 9313_2026-09-06,KE 9313,KAL,2026-09-06,14:55,ICN,At gate 15:10,,,2026-09-07T16:13:40+08:00
CX 015_2026-09-06,CX 015,CPA,2026-09-06,15:05,"NRT,TPE",At gate 15:21,,,2026-09-07T16:13:40+08:00
7L 1511_2026-09-06,7L 1511,AZG,2026-09-06,15:05,"GYD,DMM",At gate 16:56,,,2026-09-07T16:13:40+08:00
RH 332_2026-09-06,RH 332,HKC,2026-09-06,15:10,BKK,At gate 09:18 (07/09/2026),,,2026-09-07T16:13:40+08:00
CX 091_2026-09-06,CX 091,CPA,2026-09-06,15:30,"DFW,ANC",At gate 15:19,,,2026-09-07T16:13:40+08:00
D0 890_2026-09-06,D0 890,DHK,2026-09-06,15:35,BAH,At gate 08:09,,,2026-09-07T16:13:40+08:00
EK 9796_2026-09-06,EK 9796,UAE,2026-09-06,15:40,DWC,Cancelled,,,2026-09-07T16:13:40+08:00
7L 620_2026-09-06,7L 620,AZG,2026-09-06,15:55,GYD,Cancelled,,,2026-09-07T16:13:40+08:00
CX 064_2026-09-06,CX 064,CPA,2026-09-06,16:05,"FRA,AMS",At gate 15:59,,,2026-09-07T16:13:40+08:00
5Y 8154_2026-09-06,5Y 8154,GTI,2026-09-06,16:15,AMS,At gate 00:36 (07/09/2026),,,2026-09-07T16:13:40+08:00
SQ 7874_2026-09-06,SQ 7874,SIA,2026-09-06,16:15,SIN,At gate 15:29,,,2026-09-07T16:13:40+08:00
CV 4806_2026-09-06,CV 4806,CLX,2026-09-06,16:35,LUX,At gate 17:02,,,2026-09-07T16:13:40+08:00
AK 8541_2026-09-06,AK 8541,AXM,2026-09-06,17:00,BKI,At gate 21:50,,,2026-09-07T16:13:40+08:00
C8 9266_2026-09-06,C8 9266,ICV,2026-09-06,17:30,"MXP,NRT",At gate 18:18,,,2026-09-07T16:13:40+08:00
CV 7567_2026-09-06,CV 7567,CLX,2026-09-06,17:30,"LUX,SIN",At gate 18:25,,,2026-09-07T16:13:40+08:00
5X 038_2026-09-06,5X 038,UPS,2026-09-06,17:50,"ONT,HNL",At gate 18:09,,,2026-09-07T16:13:40+08:00
CX 087_2026-09-06,CX 087,CPA,2026-09-06,18:15,"NLU,ANC",At gate 18:58,,,2026-09-07T16:13:40+08:00
5Y 8008_2026-09-06,5Y 8008,GTI,2026-09-06,18:20,EMA,Cancelled,,,2026-09-07T16:13:40+08:00
5Y 8523_2026-09-06,5Y 8523,GTI,2026-09-06,18:45,HAN,Cancelled,,,2026-09-07T16:13:40+08:00
RH 830_2026-09-06,RH 830,HKC,2026-09-06,18:45,PVG,At gate 13:35,,,2026-09-07T16:13:40+08:00
RH 963_2026-09-06,RH 963,HKC,2026-09-06,19:20,KIX,At gate 00:12 (07/09/2026),,,2026-09-07T16:13:40+08:00
7L 691_2026-09-06,7L 691,AZG,2026-09-06,19:25,GYD,Cancelled,,,2026-09-07T16:13:40+08:00
RH 372_2026-09-06,RH 372,HKC,2026-09-06,19:30,SIN,At gate 17:34,,,2026-09-07T16:13:40+08:00
SV 3966_2026-09-06,SV 3966,SVA,2026-09-06,19:35,RUH,Cancelled,,,2026-09-07T16:13:40+08:00
QR 8476_2026-09-06,QR 8476,QTR,2026-09-06,20:10,"DOH,BKK",At gate 20:16,,,2026-09-07T16:13:40+08:00
TK 6220_2026-09-06,TK 6220,THY,2026-09-06,20:25,"IST,BOM",At gate 23:06,,,2026-09-07T16:13:40+08:00
CX 3283_2026-09-06,CX 3283,CPA,2026-09-06,20:25,"ATL,ANC",At gate 21:04,,,2026-09-07T16:13:40+08:00
QF 7525_2026-09-06,QF 7525,QFA,2026-09-06,20:50,SYD,At gate 20:46,,,2026-09-07T16:13:40+08:00
CI 5831_2026-09-06,CI 5831,CAL,2026-09-06,21:00,TPE,At gate 23:03,,,2026-09-07T16:13:40+08:00
WW 861_2026-09-06,WW 861,KXP,2026-09-06,21:45,BKI,At gate 01:04 (07/09/2026),,,2026-09-07T16:13:40+08:00
SR 812_2026-09-06,SR 812,XKY,2026-09-06,21:45,CRK,At gate 21:29,,,2026-09-07T16:13:40+08:00
K4 206_2026-09-06,K4 206,CKS,2026-09-06,21:50,"CVG,NRT",At gate 21:32,,,2026-09-07T16:13:40+08:00
