flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
ET 3600_2026-09-08,ET 3600,ETH,2026-09-08,03:55,ADD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 3485_2026-09-08,CX 3485,CPA,2026-09-08,03:55,"JFK,YYZ",At gate 06:42,,arrival,2026-09-08T11:45:35+08:00
ES 729_2026-09-08,ES 729,DHX,2026-09-08,03:55,BAH,Cancelled,,arrival,2026-09-08T11:45:35+08:00
F5 7760_2026-09-08,F5 7760,ATG,2026-09-08,04:00,EMA,At gate 08:31,,arrival,2026-09-08T11:45:35+08:00
5Y 732_2026-09-08,5Y 732,GTI,2026-09-08,04:10,LAX,At gate 04:29,,arrival,2026-09-08T11:45:35+08:00
RH 6652_2026-09-08,RH 6652,HKC,2026-09-08,04:30,"DAC,HAN",At gate 04:51,,arrival,2026-09-08T11:45:35+08:00
CK 263_2026-09-08,CK 263,CKK,2026-09-08,04:45,PVG,At gate 04:34,,arrival,2026-09-08T11:45:35+08:00
K4 256_2026-09-08,K4 256,CKS,2026-09-08,04:50,"MIA,LAX,ICN",At gate 05:21,,arrival,2026-09-08T11:45:35+08:00
CX 053_2026-09-08,CX 053,CPA,2026-09-08,05:10,CKG,At gate 07:19,,arrival,2026-09-08T11:45:35+08:00
7L 624_2026-09-08,7L 624,AZG,2026-09-08,05:15,"GYD,BOM",At gate 04:11,,arrival,2026-09-08T11:45:35+08:00
SV 962_2026-09-08,SV 962,SVA,2026-09-08,05:25,RUH,Cancelled,,arrival,2026-09-08T11:45:35+08:00
5Y 8049_2026-09-08,5Y 8049,GTI,2026-09-08,05:30,"MIA,ANC",Est at 00:45 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
CI 6842_2026-09-08,CI 6842,CAL,2026-09-08,05:35,MNL,At gate 05:53,,arrival,2026-09-08T11:45:35+08:00
5Y 8375_2026-09-08,5Y 8375,GTI,2026-09-08,06:00,BAH,At gate 07:10,,arrival,2026-09-08T11:45:35+08:00
MB 300_2026-09-08,MB 300,MNB,2026-09-08,06:20,SHJ,At gate 10:47,,arrival,2026-09-08T11:45:35+08:00
O3 151_2026-09-08,O3 151,CSS,2026-09-08,06:40,EHU,At gate 07:10,,arrival,2026-09-08T11:45:35+08:00
CX 014_2026-09-08,CX 014,CPA,2026-09-08,06:45,"FRA,MXP",At gate 08:26,,arrival,2026-09-08T11:45:35+08:00
ET 3753_2026-09-08,ET 3753,ETH,2026-09-08,07:00,MAD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 2040_2026-09-08,CX 2040,CPA,2026-09-08,07:00,MAA,Est at 04:26 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
QY 694_2026-09-08,QY 694,BCS,2026-09-08,07:00,"LEJ,BLR",At gate 07:00,,arrival,2026-09-08T11:45:35+08:00
CV 1081_2026-09-08,CV 1081,CLX,2026-09-08,07:30,LUX,At gate 06:32,,arrival,2026-09-08T11:45:35+08:00
TK 6266_2026-09-08,TK 6266,THY,2026-09-08,07:35,"IST,RUH",At gate 08:19,,arrival,2026-09-08T11:45:35+08:00
CX 3251_2026-09-08,CX 3251,CPA,2026-09-08,07:50,PVG,At gate 07:23,,arrival,2026-09-08T11:45:35+08:00
CV 9521_2026-09-08,CV 9521,CLX,2026-09-08,08:00,"LUX,KUL",At gate 07:49,,arrival,2026-09-08T11:45:35+08:00
5X 067_2026-09-08,5X 067,UPS,2026-09-08,08:15,"SDF,ANC,SGN",At gate 08:26,,arrival,2026-09-08T11:45:35+08:00
QR 8406_2026-09-08,QR 8406,QTR,2026-09-08,08:30,DOH,At gate 08:25,,arrival,2026-09-08T11:45:35+08:00
O3 267_2026-09-08,O3 267,CSS,2026-09-08,08:45,NGB,At gate 08:14,,arrival,2026-09-08T11:45:35+08:00
CX 3273_2026-09-08,CX 3273,CPA,2026-09-08,08:45,"MIA,ANC",Est at 13:40,,arrival,2026-09-08T11:45:35+08:00
CX 2097_2026-09-08,CX 2097,CPA,2026-09-08,10:10,"ORD,ANC",At gate 10:55,,arrival,2026-09-08T11:45:35+08:00
RH 9484_2026-09-08,RH 9484,HKC,2026-09-08,10:35,"IST,ALA",Est at 14:50 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
EK 9838_2026-09-08,EK 9838,UAE,2026-09-08,11:15,DWC,Est at 12:45,,arrival,2026-09-08T11:45:35+08:00
RH 4569_2026-09-08,RH 4569,HKC,2026-09-08,11:40,TPE,At gate 05:36,,arrival,2026-09-08T11:45:35+08:00
K4 562_2026-09-08,K4 562,CKS,2026-09-08,12:00,"ORD,ANC",At gate 11:38,,arrival,2026-09-08T11:45:35+08:00
KJ 967_2026-09-08,KJ 967,AIH,2026-09-08,12:05,ICN,Landed 11:42,,arrival,2026-09-08T11:45:35+08:00
5X 167_2026-09-08,5X 167,UPS,2026-09-08,12:40,"SDF,SIN",Est at 12:22,,arrival,2026-09-08T11:45:35+08:00
5X 052_2026-09-08,5X 052,UPS,2026-09-08,13:10,"SDF,ANC",Est at 13:10,,arrival,2026-09-08T11:45:35+08:00
WW 861_2026-09-08,WW 861,KXP,2026-09-08,13:40,BKI,Est at 06:45 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
C6 7641_2026-09-08,C6 7641,MFX,2026-09-08,14:00,TAS,Est at 13:59,,arrival,2026-09-08T11:45:35+08:00
5X 002_2026-09-08,5X 002,UPS,2026-09-08,14:15,"PHL,CGN",Est at 14:15,,arrival,2026-09-08T11:45:35+08:00
5X 058_2026-09-08,5X 058,UPS,2026-09-08,14:35,"ONT,HNL",Est at 13:59,,arrival,2026-09-08T11:45:35+08:00
CV 4971_2026-09-08,CV 4971,CLX,2026-09-08,14:45,LUX,Est at 14:00,,arrival,2026-09-08T11:45:35+08:00
KE 9313_2026-09-08,KE 9313,KAL,2026-09-08,14:45,ICN,Est at 14:28,,arrival,2026-09-08T11:45:35+08:00
CX 3259_2026-09-08,CX 3259,CPA,2026-09-08,14:50,PVG,,,arrival,2026-09-08T11:45:35+08:00
3S 594_2026-09-08,3S 594,BOX,2026-09-08,15:00,"LEJ,NRT",Est at 14:10,,arrival,2026-09-08T11:45:35+08:00
CT 5901_2026-09-08,CT 5901,AAE,2026-09-08,15:00,LGG,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 015_2026-09-08,CX 015,CPA,2026-09-08,15:05,"NRT,TPE",Est at 00:06 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
LH 8460_2026-09-08,LH 8460,GEC,2026-09-08,15:25,FRA,Est at 14:35,,arrival,2026-09-08T11:45:35+08:00
