flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
QY 673_2026-06-10,QY 673,BCS,2026-06-10,07:00,BAH,At gate 06:24,,arrival,
RH 4569_2026-06-10,RH 4569,HKC,2026-06-10,07:15,TPE,At gate 05:36,,arrival,
KJ 952_2026-06-10,KJ 952,AIH,2026-06-10,07:20,"ICN,HAN",At gate 06:59,,arrival,
QR 8402_2026-06-10,QR 8402,QTR,2026-06-10,07:35,DOH,At gate 09:05,,arrival,
RH 830_2026-06-10,RH 830,HKC,2026-06-10,07:50,PVG,At gate 15:34,,arrival,
QY 516_2026-06-10,QY 516,BCS,2026-06-10,07:55,"LEJ,DWC",At gate 08:28,,arrival,
CX 3253_2026-06-10,CX 3253,CPA,2026-06-10,08:05,PVG,At gate 08:56,,arrival,
5X 067_2026-06-10,5X 067,UPS,2026-06-10,08:15,"SDF,SGN",At gate 08:01,,arrival,
CV 9932_2026-06-10,CV 9932,CLX,2026-06-10,08:35,LUX,At gate 13:17,,arrival,
CX 3239_2026-06-10,CX 3239,CPA,2026-06-10,08:35,PVG,At gate 08:03,,arrival,
3V 401_2026-06-10,3V 401,TAY,2026-06-10,08:40,"LGG,DWC",At gate 09:29,,arrival,
O3 267_2026-06-10,O3 267,CSS,2026-06-10,08:45,NGB,At gate 08:46,,arrival,
TK 6291_2026-06-10,TK 6291,THY,2026-06-10,09:15,"IST,MAA",At gate 10:05,,arrival,
CX 3144_2026-06-10,CX 3144,CPA,2026-06-10,09:25,MAA,At gate 09:49,,arrival,
3S 510_2026-06-10,3S 510,BOX,2026-06-10,09:30,LEJ,At gate 09:11,,arrival,
CC 4303_2026-06-10,CC 4303,ABD,2026-06-10,09:50,LGG,At gate 11:53,,arrival,
3V 951_2026-06-10,3V 951,TAY,2026-06-10,10:20,LGG,At gate 16:25,,arrival,
2G 101_2026-06-10,2G 101,HUA,2026-06-10,10:45,BUD,At gate 10:17,,arrival,
CV 4802_2026-06-10,CV 4802,CLX,2026-06-10,10:50,LUX,At gate 11:58,,arrival,
KJ 969_2026-06-10,KJ 969,AIH,2026-06-10,11:15,ICN,At gate 11:41,,arrival,
QR 8464_2026-06-10,QR 8464,QTR,2026-06-10,11:15,DOH,At gate 10:43,,arrival,
K4 270_2026-06-10,K4 270,CKS,2026-06-10,11:30,"CVG,NRT",At gate 11:33,,arrival,
RH 595_2026-06-10,RH 595,HKC,2026-06-10,11:40,ATH,At gate 13:10 (11/06/2026),,arrival,
EK 9858_2026-06-10,EK 9858,UAE,2026-06-10,12:00,DWC,At gate 02:33 (11/06/2026),,arrival,
5X 167_2026-06-10,5X 167,UPS,2026-06-10,12:40,"SDF,SIN",At gate 12:29,,arrival,
EK 9780_2026-06-10,EK 9780,UAE,2026-06-10,12:45,DWC,At gate 11:59,,arrival,
5X 062_2026-06-10,5X 062,UPS,2026-06-10,12:55,"SDF,ANC",At gate 13:17,,arrival,
KZ 209_2026-06-10,KZ 209,NCA,2026-06-10,13:35,NRT,At gate 14:18,,arrival,
WW 861_2026-06-10,WW 861,KXP,2026-06-10,13:45,BKI,Cancelled,,arrival,
5X 002_2026-06-10,5X 002,UPS,2026-06-10,14:25,CGN,Cancelled,,arrival,
LH 8450_2026-06-10,LH 8450,GEC,2026-06-10,14:30,FRA,At gate 13:45,,arrival,
LH 8460_2026-06-10,LH 8460,GEC,2026-06-10,14:30,FRA,Cancelled,,arrival,
5C 851_2026-06-10,5C 851,ICL,2026-06-10,14:30,TLV,At gate 14:31,,arrival,
5X 058_2026-06-10,5X 058,UPS,2026-06-10,14:35,"ONT,HNL",At gate 14:12,,arrival,
ET 3618_2026-06-10,ET 3618,ETH,2026-06-10,14:45,"ADD,ICN",At gate 12:34,,arrival,
7L 922_2026-06-10,7L 922,AZG,2026-06-10,14:50,DMM,At gate 21:15,,arrival,
3S 592_2026-06-10,3S 592,BOX,2026-06-10,15:00,"LEJ,NRT",At gate 15:28,,arrival,
CX 015_2026-06-10,CX 015,CPA,2026-06-10,15:05,"NRT,TPE",At gate 15:15,,arrival,
RH 332_2026-06-10,RH 332,HKC,2026-06-10,15:10,BKK,At gate 18:58,,arrival,
KE 8313_2026-06-10,KE 8313,KAL,2026-06-10,15:30,ICN,At gate 15:23,,arrival,
SQ 7988_2026-06-10,SQ 7988,SIA,2026-06-10,15:35,SIN,At gate 19:58,,arrival,
SV 974_2026-06-10,SV 974,SVA,2026-06-10,15:50,JED,Cancelled,,arrival,
7L 624_2026-06-10,7L 624,AZG,2026-06-10,15:55,GYD,Cancelled,,arrival,
5X 064_2026-06-10,5X 064,UPS,2026-06-10,16:00,"SDF,ICN",At gate 16:38,,arrival,
7L 1922_2026-06-10,7L 1922,AZG,2026-06-10,16:05,GYD,Cancelled,,arrival,
QR 8470_2026-06-10,QR 8470,QTR,2026-06-10,16:40,DOH,At gate 16:47,,arrival,
CT 117_2026-06-10,CT 117,AAE,2026-06-10,16:40,LGG,At gate 15:47,,arrival,
CV 4162_2026-06-10,CV 4162,CLX,2026-06-10,17:10,LUX,At gate 17:00,,arrival,
FX 5991_2026-06-10,FX 5991,FDX,2026-06-10,17:10,ICN,At gate 16:54,,arrival,
CI 6843_2026-06-10,CI 6843,CAL,2026-06-10,17:20,TPE,At gate 18:04,,arrival,
