ports
AMS
BCN
BRU
CDG
DUB
FCO
FRA
LGW
LHR
MAD
MAN
MUC
MXP
TLV
ZRH
CAN
HKG
CJU
CTS
FUK
HND
ICN
KHH
KIX
NGO
NRT
OKA
PUS
RMQ
TPE
CGO
CKG
CSX
CTU
FOC
HAK
HGH
KMG
KWL
NGB
NKG
NNG
PEK
PVG
SHA
SYX
TAO
TFU
TNA
URC
WNZ
WUH
XIY
XMN
BAH
BLR
BOM
CCU
CMB
CPT
DAC
DEL
DWC
DXB
HYD
JNB
KTM
MAA
MLE
RUH
ADL
AKL
BKK
BNE
CEB
CGK
CHC
CNS
CNX
CRK
DAD
DPS
DVO
HAN
HKT
KNO
KTI
KUL
MEL
MNL
PEN
PER
PNH
REP
RGN
SGN
SIN
SUB
SYD
WTB
ANC
ATL
BOS
DFW
EWR
GDL
IAD
IAH
JFK
LAX
LCK
MEX
MIA
NLU
ORD
PDX
PIT
SEA
SFO
YVR
YYZ
